"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.95608043114904,0.609,0.055,0,"3","CLDN1"
0,3.92451091725613,0.668,0.072,0,"3","VIT"
0,3.74952381102607,0.325,0.052,0,"3","PODNL1"
0,3.68514715771788,0.498,0.069,0,"3","FOXS1"
0,3.63567725555398,0.342,0.031,0,"3","FMO2"
0,3.59157815745111,0.654,0.126,0,"3","FZD2"
0,3.49303903020556,0.556,0.089,0,"3","PI16"
0,3.41826829060713,0.542,0.122,0,"3","PTCH1"
0,3.32330860149985,0.784,0.142,0,"3","CYP1B1"
1.15689100379962e-315,3.2843126671135,0.325,0.061,3.67440151716798e-311,"3","WFDC1"
8.50573519418332e-312,3.21653470946424,0.275,0.042,2.70150655502457e-307,"3","P2RY14"
0,3.21126093183934,0.95,0.284,0,"3","ABCA8"
7.98446834022384e-277,3.2064017446739,0.395,0.102,2.53594698953849e-272,"3","PAMR1"
2.00482245967214e-255,3.18542299945217,0.336,0.08,6.36751661416468e-251,"3","C2orf40"
0,3.16953664585077,0.396,0.058,0,"3","OMD"
8.22451318006089e-319,3.12634605882223,0.538,0.174,2.61218763111914e-314,"3","SRPX"
0,3.04210226034751,0.393,0.079,0,"3","TNXB"
0,3.03821302934929,0.788,0.173,0,"3","ABCA9"
6.32104607797092e-224,2.92314431134448,0.345,0.092,2.00762744482435e-219,"3","OSR2"
0,2.86208151581938,0.448,0.093,0,"3","SOX9"
4.10141686332006e-256,2.86038562617541,0.27,0.05,1.30265100995908e-251,"3","KCNK2"
3.08182994589186e-216,2.85292227007947,0.299,0.071,9.78820009114712e-212,"3","SOX8"
6.916186338427e-202,3.05184135754099,0.299,0.074,2.1966499429478e-197,"4","FAT3"
4.02569113770456e-286,2.59352033748399,0.536,0.187,1.27859976224635e-281,"4","AL132709.5"
2.74276404573386e-111,2.496780712299,0.266,0.091,8.7112928856553e-107,"4","COL24A1"
1.75029554822799e-245,2.46754315201504,0.424,0.123,5.55911369072691e-241,"4","BMP5"
1.15002228136764e-141,2.43979321351757,0.294,0.092,3.65258576785175e-137,"4","MEGF10"
3.28939393651362e-159,2.43578551932951,0.347,0.116,1.04474440817609e-154,"4","DNM3OS"
7.50732665223221e-111,2.43083480614926,0.282,0.101,2.38440201801547e-106,"4","WISP1"
3.00601633698614e-153,2.41920816285403,0.378,0.143,9.54740848790168e-149,"4","AL132709.8"
1.78419061386702e-184,2.41375263690235,0.394,0.134,5.66676780870303e-180,"4","HIF3A"
6.11572835349437e-164,2.35870710379764,0.418,0.163,1.94241648235335e-159,"4","NFATC4"
2.86825593774471e-189,2.34254008613199,0.454,0.171,9.10986768387098e-185,"4","TGFB2"
4.1802771661589e-159,2.31861189986031,0.349,0.117,1.32769783074373e-154,"4","IL17RD"
2.65770048878478e-103,2.31765480035374,0.265,0.094,8.44112252242934e-99,"4","AMH"
0,2.28345582778063,0.752,0.321,0,"4","ZFHX4"
0,2.27046940074551,0.706,0.26,0,"4","BOC"
2.95085722124129e-146,2.25626214046565,0.382,0.147,9.37221762038445e-142,"4","COL27A1"
5.09788647124883e-171,2.22873551164557,0.479,0.207,1.61913972213334e-166,"4","CMYA5"
0,2.20332456055924,0.977,0.527,0,"4","MEG3"
4.39066718980643e-104,2.18734767602821,0.333,0.141,1.39451980615442e-99,"4","GLI2"
0,2.18538619570182,0.884,0.411,0,"4","TSHZ2"
1.26031424022688e-163,2.16592838727945,0.4,0.146,4.00288405838459e-159,"4","NRK"
0,2.16010180952376,0.868,0.392,0,"4","FGFR1"
8.56669877978678e-118,2.15959202206317,0.351,0.143,2.72086919944808e-113,"4","COL13A1"
1.60498307929299e-124,2.13196200440004,0.322,0.116,5.09758675814246e-120,"4","ITGA8"
2.63271695314432e-181,2.13108940223612,0.478,0.192,8.36177231488168e-177,"4","ABI3BP"
3.13976659245688e-48,2.1202666254387,0.272,0.147,9.9722126743023e-44,"4","FAM155A"
9.25505231319164e-168,2.11806087384992,0.495,0.207,2.9394971651928e-163,"4","ABCA10"
5.79286315161117e-72,2.11729049978221,0.294,0.135,1.83987126558322e-67,"4","ROBO2"
1.21180818225959e-213,2.11062255546886,0.559,0.241,3.84882396767468e-209,"4","PLEKHH2"
1.00765648943083e-118,2.0975573933032,0.35,0.142,3.20041777608126e-114,"4","PDGFRA"
0,6.48402775810933,0.801,0.032,0,"5","IL7R"
0,5.96818827667949,0.597,0.02,0,"5","KLRB1"
0,5.30905871200306,0.659,0.046,0,"5","LTB"
0,5.03308170111659,0.543,0.02,0,"5","CD3G"
0,4.98606640568168,0.808,0.04,0,"5","CD2"
0,4.96341560247872,0.534,0.042,0,"5","SPOCK2"
0,4.96306309444052,0.292,0.014,0,"5","CD6"
0,4.87336046883933,0.78,0.028,0,"5","CD3D"
0,4.865524679645,0.293,0.027,0,"5","FLT3LG"
0,4.84683811343627,0.283,0.028,0,"5","PRKCQ-AS1"
0,4.80697880484505,0.616,0.027,0,"5","CD3E"
0,4.75246908125483,0.475,0.022,0,"5","LCK"
0,4.71136408152253,0.264,0.011,0,"5","ICOS"
0,4.68044379765403,0.472,0.027,0,"5","CD96"
0,4.52444479967679,0.815,0.077,0,"5","CD52"
0,4.51705316061827,0.302,0.022,0,"5","LAT"
0,4.44604929959189,0.359,0.032,0,"5","TC2N"
0,4.25134119278093,0.49,0.04,0,"5","CD7"
0,4.22641542989385,0.445,0.043,0,"5","TBC1D10C"
0,4.21624525220983,0.384,0.031,0,"5","CD247"
0,4.14239498369431,0.73,0.109,0,"5","CD69"
0,4.02976935077833,0.784,0.106,0,"5","IL32"
1.06281744847848e-304,3.94066958247904,0.257,0.036,3.37561449811249e-300,"5","STAT4"
0,3.88667371870349,0.354,0.026,0,"5","GZMM"
0,3.82406088177519,0.517,0.091,0,"5","ACAP1"
0,3.80219825694496,0.544,0.035,0,"5","GZMA"
0,3.78591053856558,0.352,0.054,0,"5","TRAF3IP3"
0,3.77032520886381,0.713,0.077,0,"5","PTPRCAP"
1.74229257712343e-241,3.69265400711706,0.35,0.089,5.53369545420172e-237,"5","RCAN3"
4.27850763004197e-173,3.68237699569868,0.291,0.081,1.35889680837763e-168,"5","TNFRSF25"
0,4.79329003327749,0.656,0.062,0,"6","PTHLH"
0,4.73964328182164,0.306,0.014,0,"6","HS3ST5"
0,4.61195172486156,0.661,0.064,0,"6","TGFA"
